SN,Gender,Age group,University/College,Level of Study,Indicate your year of study,Indicate your discipline of study,"To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [1) How often do you find that you stay on-line longer than intended?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [2) How often do you neglect household chores to spend more time on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [3) How often do you prefer the excitement of the Internet to intimacy with your partner?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [4) How often do you form new relationships with fellow on-line users?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [5) How often do others in your life complain to you about the amount of time you spend online?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [6) How often do your grades or school-work suffer because of the amount of time you spend on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [7) How often do you check your e-mail/social media platforms before something else that you need to do?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [8) How often does your job performance or productivity suffer because of the Internet?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [9) How often do you become defensive or secretive when anyone asks you what you do on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [10) How often do you block out disturbing thoughts about your life with soothing thoughts of the Internet?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [11) How often do you find yourself anticipating when you will go on-line again?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [12) How often do you fear that life without the Internet would be boring, empty, and joyless?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [13) How often do you snap, yell, or act annoyed if someone bothers you while you are on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [14) How often do you lose sleep due to late- night log-ins?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [15) How often do you feel preoccupied with the Internet when off-line, or fantasize about being on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [16) How often do you find yourself saying ""just a few more minutes"" when on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [17) How often do you try to cut down the amount of time you spend on-line and fail?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [18) How often do you try to hide how long you've been on-line?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [19) How often do you choose to spend more time on-line over going out with others?]","To assess your level of Internet and Social Media use, answer the following questions using the scale indicated [20) How often do you feel depressed, moody, or nervous when you are off-line, which goes away once you are back on-line?]",In the last two weeks: [Do you often have headaches?],In the last two weeks: [Is your appetite poor?],In the last two weeks: [Do you sleep badly?],In the last two weeks: [Are you easily frightened?],In the last two weeks: [Do your hands shake?],"In the last two weeks: [Do you feel nervous, tense or worried?]",In the last two weeks: [Is your digestion poor?],In the last two weeks: [Do you have trouble thinking clearly],In the last two weeks: [Do you feel unhappy?],In the last two weeks: [Do you cry more than usual?],In the last two weeks: [Do you find it difficult to enjoy your daily activities?],In the last two weeks: [Do you find it difficult to make decisions?],In the last two weeks: [Is your daily work suffering?],In the last two weeks: [Are you unable to play a useful part in life?],In the last two weeks: [Have you lost interest in things?],In the last two weeks: [Do you feel that you are a worthless person?],In the last two weeks: [Has the thought of ending your life been on your mind?],In the last two weeks: [Do you feel tired all the time?],In the last two weeks: [Do you have uncomfortable feelings in your stomach?],In the last two weeks: [Are you easily tired?],
441,Female,15-19,Domasi College of Education,Undergraduate,2,Science,3=Frequently,4=Often,3=Frequently,4=Often,4=Often,3=Frequently,4=Often,4=Often,3=Frequently,4=Often,4=Often,5=Always,3=Frequently,99=Missing,3=Frequently,4=Often,3=Frequently,4=Often,4=Often,3=Frequently,No,1,No,1,No,1,No,No,No,No,1,No,No,No,No,No,No,No,No,No,4
442,Female,30-34,Domasi College of Education,Undergraduate,2,Science,3=Frequently,2=Occasionally,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,0=Does not Apply,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,4=Often,4=Often,2=Occasionally,3=Frequently,3=Frequently,2=Occasionally,1=Rarely,1,No,No,No,1,1,No,No,No,No,1,No,No,No,No,No,No,No,No,1,5
443,Female,15-19,Domasi College of Education,Undergraduate,1,Science,3=Frequently,3=Frequently,1=Rarely,2=Occasionally,3=Frequently,1=Rarely,3=Frequently,1=Rarely,0=Does not Apply,2=Occasionally,1=Rarely,3=Frequently,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,3=Frequently,3=Frequently,3=Frequently,1,1,1,No,1,1,1,No,1,No,1,No,1,1,No,No,No,1,1,1,13
444,Female,20-24,Domasi College of Education,Undergraduate,2,Science,3=Frequently,1=Rarely,3=Frequently,4=Often,1=Rarely,0=Does not Apply,2=Occasionally,1=Rarely,1=Rarely,4=Often,2=Occasionally,3=Frequently,0=Does not Apply,0=Does not Apply,2=Occasionally,1=Rarely,3=Frequently,0=Does not Apply,2=Occasionally,3=Frequently,No,No,No,No,No,1,No,No,No,No,No,No,No,No,1,No,No,No,No,No,2
445,Female,20-24,Domasi College of Education,Undergraduate,3,Science,3=Frequently,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,0=Does not Apply,1=Rarely,0=Does not Apply,2=Occasionally,1=Rarely,4=Often,1=Rarely,1=Rarely,4=Often,1=Rarely,2=Occasionally,0=Does not Apply,1=Rarely,1=Rarely,1,No,No,No,1,No,No,No,No,No,No,1,1,1,1,No,No,No,No,1,7
446,Female,20-24,Domasi College of Education,Undergraduate,3,Humanities and Social Science,3=Frequently,3=Frequently,1=Rarely,0=Does not Apply,0=Does not Apply,5=Always,1=Rarely,2=Occasionally,2=Occasionally,3=Frequently,0=Does not Apply,2=Occasionally,5=Always,4=Often,0=Does not Apply,0=Does not Apply,1=Rarely,4=Often,4=Often,0=Does not Apply,1,No,No,No,1,1,1,1,No,No,1,1,No,1,No,No,No,1,1,1,11
447,Male,25-29,Domasi College of Education,Undergraduate,3,Humanities and Social Science,1=Rarely,1=Rarely,4=Often,0=Does not Apply,1=Rarely,1=Rarely,3=Frequently,0=Does not Apply,5=Always,5=Always,5=Always,5=Always,5=Always,3=Frequently,4=Often,5=Always,3=Frequently,5=Always,5=Always,4=Often,1,1,No,No,No,1,1,1,1,No,1,No,No,1,1,No,No,1,1,No,11
448,Female,20-24,Domasi College of Education,Undergraduate,3,Humanities and Social Science,5=Always,2=Occasionally,2=Occasionally,2=Occasionally,3=Frequently,3=Frequently,0=Does not Apply,2=Occasionally,1=Rarely,1=Rarely,3=Frequently,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,2=Occasionally,1=Rarely,3=Frequently,1=Rarely,No,No,No,No,No,No,No,No,1,No,No,No,No,No,1,No,No,No,No,1,3
449,Female,20-24,Domasi College of Education,Undergraduate,3,Humanities and Social Science,3=Frequently,5=Always,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,2=Occasionally,2=Occasionally,5=Always,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
450,Female,25-29,Domasi College of Education,Undergraduate,3,Humanities and Social Science,3=Frequently,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,0=Does not Apply,3=Frequently,0=Does not Apply,2=Occasionally,2=Occasionally,1=Rarely,2=Occasionally,0=Does not Apply,2=Occasionally,4=Often,2=Occasionally,2=Occasionally,3=Frequently,3=Frequently,3=Frequently,No,No,No,No,No,1,No,1,1,No,No,1,No,1,No,No,No,No,No,No,5
451,Female,20-24,Domasi College of Education,Undergraduate,3,Humanities and Social Science,2=Occasionally,0=Does not Apply,0=Does not Apply,2=Occasionally,2=Occasionally,3=Frequently,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,3=Frequently,4=Often,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,4=Often,0=Does not Apply,No,1,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2
452,Male,20-24,Domasi College of Education,Undergraduate,3,Science,1=Rarely,2=Occasionally,3=Frequently,1=Rarely,3=Frequently,1=Rarely,0=Does not Apply,0=Does not Apply,4=Often,3=Frequently,4=Often,1=Rarely,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,0=Does not Apply,2=Occasionally,1=Rarely,1,No,1,No,No,No,No,1,No,No,No,1,No,No,1,No,No,No,No,No,5
453,Male,20-24,Domasi College of Education,Undergraduate,3,Science,2=Occasionally,1=Rarely,0=Does not Apply,2=Occasionally,2=Occasionally,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,2=Occasionally,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,No,No,No,No,No,No,No,1,No,No,1,No,No,No,No,No,No,No,No,No,2
454,Female,20-24,Domasi College of Education,Undergraduate,3,Science,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,3=Frequently,1=Rarely,1=Rarely,3=Frequently,1=Rarely,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
455,Male,20-24,Domasi College of Education,Undergraduate,3,Science,1=Rarely,0=Does not Apply,2=Occasionally,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,5=Always,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,No,No,No,1,1,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,3
456,Male,20-24,Domasi College of Education,Undergraduate,3,Science,4=Often,1=Rarely,2=Occasionally,5=Always,2=Occasionally,1=Rarely,4=Often,0=Does not Apply,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,3=Frequently,2=Occasionally,0=Does not Apply,0=Does not Apply,0=Does not Apply,1,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,No,4
457,Male,20-24,Chancellor College,Undergraduate,3,Humanities and Social Science,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,99=Missing,0=Does not Apply,0=Does not Apply,99=Missing,1=Rarely,0=Does not Apply,99=Missing,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,1,1,No,No,1,1,No,1,1,No,1,No,No,No,No,No,No,No,No,1,8
458,Male,40+,Domasi College of Education,Undergraduate,3,Science,3=Frequently,1=Rarely,2=Occasionally,4=Often,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,3=Frequently,3=Frequently,2=Occasionally,5=Always,4=Often,4=Often,3=Frequently,4=Often,2=Occasionally,4=Often,0=Does not Apply,2=Occasionally,1,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,2
459,Male,20-24,Domasi College of Education,Undergraduate,3,Science,1=Rarely,1=Rarely,4=Often,3=Frequently,2=Occasionally,3=Frequently,5=Always,0=Does not Apply,2=Occasionally,3=Frequently,5=Always,2=Occasionally,1=Rarely,2=Occasionally,4=Often,3=Frequently,1=Rarely,2=Occasionally,4=Often,2=Occasionally,No,No,No,No,No,No,No,No,1,No,No,No,1,No,No,No,No,No,No,No,2
460,Male,20-24,Domasi College of Education,Undergraduate,2,Science,1=Rarely,5=Always,0=Does not Apply,2=Occasionally,4=Often,1=Rarely,3=Frequently,0=Does not Apply,2=Occasionally,3=Frequently,5=Always,4=Often,2=Occasionally,0=Does not Apply,1=Rarely,3=Frequently,5=Always,0=Does not Apply,2=Occasionally,4=Often,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,No,18
461,Male,20-24,Malawi University of Science and Technology,Undergraduate,2,Science,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,0=Does not Apply,0=Does not Apply,4=Often,1=Rarely,3=Frequently,1=Rarely,2=Occasionally,0=Does not Apply,0=Does not Apply,3=Frequently,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,2
462,Male,20-24,Malawi University of Science and Technology,Undergraduate,2,Science,2=Occasionally,0=Does not Apply,1=Rarely,2=Occasionally,2=Occasionally,0=Does not Apply,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,2=Occasionally,5=Always,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,No,No,1,No,No,No,No,No,No,No,No,No,No,1,1,No,No,No,No,No,3
463,Male,20-24,Malawi University of Science and Technology,Undergraduate,2,Science,2=Occasionally,1=Rarely,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,3=Frequently,1=Rarely,0=Does not Apply,1=Rarely,4=Often,1=Rarely,0=Does not Apply,1=Rarely,2=Occasionally,0=Does not Apply,2=Occasionally,0=Does not Apply,1=Rarely,2=Occasionally,No,No,No,No,1,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,2
464,Prefer Not to Say,20-24,Malawi University of Science and Technology,Undergraduate,2,Science,1=Rarely,2=Occasionally,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,2=Occasionally,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,99=Missing,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,2=Occasionally,1=Rarely,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1
465,Male,15-19,National College of Information Technology,Undergraduate,1,Science,3=Frequently,4=Often,3=Frequently,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,No,No,No,1,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2
466,Male,15-19,National College of Information Technology,Undergraduate,1,Science,3=Frequently,99=Missing,2=Occasionally,5=Always,3=Frequently,1=Rarely,2=Occasionally,2=Occasionally,3=Frequently,4=Often,5=Always,3=Frequently,1=Rarely,2=Occasionally,3=Frequently,4=Often,5=Always,3=Frequently,2=Occasionally,3=Frequently,1,No,No,No,No,No,No,No,1,No,No,No,1,1,No,No,No,No,No,No,4
467,Male,15-19,National College of Information Technology,Undergraduate,1,Humanities and Social Science,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,3=Frequently,0=Does not Apply,0=Does not Apply,0=Does not Apply,5=Always,4=Often,3=Frequently,5=Always,5=Always,5=Always,4=Often,3=Frequently,5=Always,3=Frequently,5=Always,3=Frequently,1,No,No,No,1,1,1,No,No,No,No,No,No,1,No,No,No,No,1,1,7
468,Female,20-24,The Malawi Polytechnic,Undergraduate,3,Science,5=Always,4=Often,0=Does not Apply,4=Often,2=Occasionally,4=Often,1=Rarely,2=Occasionally,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,99=Missing,3=Frequently,2=Occasionally,4=Often,3=Frequently,5=Always,1=Rarely,99=Missing,1,No,No,No,1,1,No,No,No,No,No,No,No,No,No,No,No,No,No,1,4
469,Male,25-29,National College of Information Technology,Undergraduate,3,Science,3=Frequently,2=Occasionally,2=Occasionally,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,2=Occasionally,2=Occasionally,2=Occasionally,1=Rarely,No,No,No,No,No,No,No,No,No,7=Missing,No,No,No,No,1,No,No,No,No,No,1
470,Male,25-29,The Malawi Polytechnic,Undergraduate,4+,Humanities and Social Science,1=Rarely,4=Often,2=Occasionally,4=Often,2=Occasionally,4=Often,4=Often,4=Often,2=Occasionally,3=Frequently,5=Always,3=Frequently,4=Often,4=Often,4=Often,2=Occasionally,4=Often,5=Always,3=Frequently,4=Often,1,1,1,1,1,1,1,1,No,No,No,1,No,1,No,1,1,No,No,1,13
471,Prefer Not to Say,,National College of Information Technology,Undergraduate,1,Science,1=Rarely,0=Does not Apply,0=Does not Apply,3=Frequently,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,4=Often,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,1,No,No,1,No,1,No,No,No,No,No,No,No,No,1,No,No,No,No,1,5
472,Male,15-19,National College of Information Technology,Undergraduate,1,Science,2=Occasionally,2=Occasionally,4=Often,4=Often,0=Does not Apply,2=Occasionally,0=Does not Apply,2=Occasionally,4=Often,1=Rarely,1=Rarely,5=Always,2=Occasionally,2=Occasionally,5=Always,2=Occasionally,2=Occasionally,2=Occasionally,0=Does not Apply,2=Occasionally,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,No,1,No,No,No,3
473,Female,15-19,The Malawi Polytechnic,Undergraduate,4+,Science,3=Frequently,4=Often,3=Frequently,4=Often,4=Often,3=Frequently,5=Always,3=Frequently,4=Often,5=Always,3=Frequently,5=Always,4=Often,99=Missing,99=Missing,2=Occasionally,4=Often,99=Missing,2=Occasionally,4=Often,No,No,No,1,No,1,No,No,1,No,No,1,No,No,1,No,No,1,1,1,8
474,Male,20-24,National College of Information Technology,Undergraduate,1,Science,1=Rarely,0=Does not Apply,99=Missing,0=Does not Apply,0=Does not Apply,1=Rarely,2=Occasionally,3=Frequently,2=Occasionally,3=Frequently,4=Often,3=Frequently,3=Frequently,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,5=Always,No,No,No,No,1,No,No,1,1,1,1,No,1,No,No,No,No,No,No,No,6
475,Male,30-34,The Malawi Polytechnic,Undergraduate,4+,Science,5=Always,4=Often,5=Always,2=Occasionally,3=Frequently,4=Often,3=Frequently,4=Often,3=Frequently,5=Always,99=Missing,2=Occasionally,3=Frequently,4=Often,2=Occasionally,3=Frequently,4=Often,2=Occasionally,5=Always,5=Always,No,1,1,No,No,1,No,1,No,No,No,No,No,No,No,No,1,No,No,No,5
476,Male,15-19,National College of Information Technology,Undergraduate,1,Science,1=Rarely,3=Frequently,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,3=Frequently,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,2=Occasionally,2=Occasionally,No,7=Missing,1,1,No,1,No,No,7=Missing,7=Missing,7=Missing,1,,No,7=Missing,No,7=Missing,7=Missing,1,1,6
477,Female,20-24,The Malawi Polytechnic,Undergraduate,4+,Science,5=Always,3=Frequently,4=Often,3=Frequently,4=Often,3=Frequently,4=Often,3=Frequently,4=Often,3=Frequently,5=Always,3=Frequently,3=Frequently,5=Always,3=Frequently,5=Always,3=Frequently,5=Always,5=Always,5=Always,1,No,1,No,1,No,No,No,1,1,No,No,1,No,1,No,No,No,1,1,9
478,Male,30-34,The Malawi Polytechnic,Undergraduate,4+,Science,5=Always,3=Frequently,4=Often,3=Frequently,4=Often,3=Frequently,3=Frequently,3=Frequently,5=Always,4=Often,4=Often,4=Often,4=Often,4=Often,3=Frequently,4=Often,4=Often,4=Often,4=Often,4=Often,1,No,1,No,No,No,1,1,1,1,No,No,No,1,1,No,No,1,1,No,10
479,Male,20-24,National College of Information Technology,Undergraduate,1,Science,2=Occasionally,1=Rarely,3=Frequently,3=Frequently,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,4=Often,99=Missing,1=Rarely,3=Frequently,1=Rarely,1=Rarely,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No,No,No,No,No,No,1
480,Female,15-19,National College of Information Technology,Undergraduate,1,Science,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,1,2
481,Female,25-29,The Malawi Polytechnic,Undergraduate,4+,Science,4=Often,3=Frequently,4=Often,3=Frequently,4=Often,4=Often,3=Frequently,3=Frequently,3=Frequently,4=Often,4=Often,5=Always,3=Frequently,4=Often,3=Frequently,4=Often,4=Often,4=Often,4=Often,5=Always,1,1,1,No,No,No,1,1,1,No,No,No,No,1,No,No,1,1,1,No,10
482,Female,15-19,National College of Information Technology,Undergraduate,1,Science,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,0=Does not Apply,0=Does not Apply,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,1,1,No,1,1,1,1,1,7=Missing,7=Missing,7=Missing,7
483,Male,25-29,The Malawi Polytechnic,Undergraduate,4+,Science,2=Occasionally,1=Rarely,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,3=Frequently,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,No,1,No,1,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,3
484,Female,15-19,,Undergraduate,2,Humanities and Social Science,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,99=Missing,0=Does not Apply,1=Rarely,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
485,Female,20-24,National College of Information Technology,Undergraduate,1,Science,2=Occasionally,99=Missing,5=Always,3=Frequently,0=Does not Apply,0=Does not Apply,3=Frequently,0=Does not Apply,0=Does not Apply,4=Often,0=Does not Apply,3=Frequently,0=Does not Apply,1=Rarely,2=Occasionally,4=Often,5=Always,4=Often,5=Always,0=Does not Apply,1,No,No,No,1,No,No,No,No,No,No,No,1,1,No,1,No,No,No,No,5
486,Male,20-24,The Malawi Polytechnic,Undergraduate,3,Science,2=Occasionally,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,99=Missing,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
487,Female,25-29,The Malawi Polytechnic,Undergraduate,4+,Science,1=Rarely,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,2=Occasionally,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,1=Rarely,1=Rarely,1=Rarely,0=Does not Apply,0=Does not Apply,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
488,Male,25-29,The Malawi Polytechnic,Undergraduate,7=Missing,Humanities and Social Science,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,0=Does not Apply,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,0
489,Male,20-24,National College of Information Technology,Undergraduate,3,Science,3=Frequently,3=Frequently,4=Often,3=Frequently,1=Rarely,1=Rarely,1=Rarely,1=Rarely,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,1=Rarely,1=Rarely,1=Rarely,2=Occasionally,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0
490,Male,20-24,The Malawi Polytechnic,Undergraduate,3,Science,1=Rarely,2=Occasionally,1=Rarely,2=Occasionally,2=Occasionally,3=Frequently,3=Frequently,2=Occasionally,2=Occasionally,3=Frequently,1=Rarely,1=Rarely,0=Does not Apply,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,0=Does not Apply,1=Rarely,1=Rarely,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1
491,Female,15-19,The Malawi Polytechnic,Undergraduate,2,Science,3=Frequently,1=Rarely,99=Missing,2=Occasionally,0=Does not Apply,1=Rarely,0=Does not Apply,0=Does not Apply,0=Does not Apply,4=Often,3=Frequently,4=Often,2=Occasionally,3=Frequently,0=Does not Apply,4=Often,3=Frequently,4=Often,3=Frequently,1=Rarely,1,No,No,No,No,1,No,No,No,No,No,1,No,No,No,No,No,1,No,No,4
492,Male,15-19,The Malawi Polytechnic,Undergraduate,2,Science,5=Always,5=Always,5=Always,5=Always,5=Always,5=Always,5=Always,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,No,No,No,No,No,No,7=Missing,1,1,1,1,1,1,1,1,No,No,No,No,No,8
493,Male,20-24,The Malawi Polytechnic,Undergraduate,3,Science,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,0=Does not Apply,2=Occasionally,2=Occasionally,2=Occasionally,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,1,1,1,No,No,No,No,No,No,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,3
494,Male,15-19,The Malawi Polytechnic,Undergraduate,2,Science,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,2=Occasionally,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,99=Missing,5=Always,5=Always,5=Always,5=Always,5=Always,5=Always,1,1,1,1,1,,7=Missing,No,No,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,7=Missing,5
495,Female,20-24,The Malawi Polytechnic,Undergraduate,4+,Science,1=Rarely,2=Occasionally,0=Does not Apply,0=Does not Apply,1=Rarely,2=Occasionally,2=Occasionally,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,3=Frequently,2=Occasionally,3=Frequently,3=Frequently,2=Occasionally,2=Occasionally,4=Often,2=Occasionally,3=Frequently,No,No,No,No,No,1,No,1,1,1,No,No,No,No,1,No,No,No,1,1,7
